#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE54E
#Date Time: 2023-04-27 21:09:16.783
#Sample rate: 1.11111e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 2.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: -2.5 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: -2.5 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -500 mV

Time (s),Channel 1 (V),Channel 2 (V)
0.01354946382844543,3.941982448730447,4.501398875568078
0.01354955382844543,3.934571375824493,4.505127140155763
0.01354964382844543,3.934571375824486,4.505127140155767
0.01354973382844543,3.938276912277459,4.512583669331156
0.01354982382844543,3.934571375824486,4.508855404743475
0.01354991382844543,3.934571375824486,4.508855404743475
0.01355000382844543,3.938276912277485,4.50139887556815
0.01355009382844543,3.938276912277476,4.512583669331165
0.01355018382844543,3.9345713758245,4.505127140155794
0.01355027382844543,3.938276912277414,4.512583669331182
0.01355036382844543,3.930865839371501,4.512583669331169
0.01355045382844543,3.934571375824478,4.508855404743484
0.01355054382844543,3.930865839371518,4.505127140155797
0.01355063382844543,3.934571375824486,4.516311933918871
0.01355072382844543,3.934571375824486,4.512583669331185
0.01355081382844543,3.930865839371513,4.512583669331182
0.01355090382844543,3.927160302918512,4.520040198506527
0.01355099382844543,3.930865839371483,4.508855404743475
0.01355108382844543,3.919749230012552,4.508855404743475
0.01355117382844543,3.930865839371458,4.512583669331121
0.01355126382844543,3.927160302918472,4.505127140155767
0.01355135382844543,3.919749230012521,4.505127140155767
0.01355144382844543,3.919749230012491,4.508855404743475
0.01355153382844543,3.919749230012518,4.508855404743475
0.01355162382844543,3.927160302918472,4.508855404743475
0.01355171382844543,3.92345476646552,4.508855404743475
0.01355180382844543,3.919749230012528,4.505127140155804
0.01355189382844543,3.927160302918482,4.512583669331175
0.01355198382844543,3.930865839371462,4.505127140155818
0.01355207382844543,3.923454766465466,4.508855404743451
0.01355216382844543,3.919749230012496,4.505127140155769
0.01355225382844543,3.930865839371427,4.508855404743454
0.01355234382844543,3.92716030291846,4.505127140155825
0.01355243382844543,3.923454766465503,4.512583669331169
0.01355252382844543,3.930865839371458,4.505127140155797
0.01355261382844543,3.930865839371452,4.508855404743475
0.01355270382844543,3.927160302918489,4.508855404743475
0.01355279382844543,3.927160302918489,4.508855404743475
0.01355288382844543,3.934571375824422,4.505127140155799
0.01355297382844543,3.927160302918507,4.508855404743437
0.01355306382844543,3.930865839371484,4.501398875568066
0.01355315382844543,3.927160302918514,4.512583669331105
0.01355324382844543,3.930865839371488,4.505127140155791
0.01355333382844543,3.930865839371486,4.508855404743473
0.01355342382844543,3.927160302918509,4.505127140155787
0.01355351382844543,3.930865839371488,4.505127140155825
0.01355360382844543,3.930865839371494,4.512583669331169
0.01355369382844543,3.934571375824471,4.505127140155797
0.01355378382844543,3.930865839371488,4.508855404743441
0.01355387382844543,3.930865839371488,4.505127140155778
0.01355396382844543,3.930865839371488,4.508855404743465
0.01355405382844543,3.923454766465554,4.508855404743475
0.01355414382844543,3.930865839371471,4.50139887556811
0.01355423382844543,3.927160302918494,4.512583669331167
0.01355432382844543,3.927160302918489,4.505127140155821
0.01355441382844543,3.923454766465513,4.505127140155767
0.01355450382844543,3.927160302918489,4.505127140155769
0.01355459382844543,3.927160302918489,4.508855404743454
0.01355468382844543,3.927160302918518,4.505127140155795
0.01355477382844543,3.930865839371488,4.508855404743482
0.01355486382844543,3.930865839371488,4.512583669331167
0.01355495382844543,3.934571375824452,4.516311933918856
0.01355504382844543,3.930865839371488,4.512583669331158
0.01355513382844543,3.930865839371488,4.505127140155787
0.01355522382844543,3.930865839371488,4.508855404743443
0.01355531382844543,3.927160302918506,4.508855404743509
0.01355540382844543,3.930865839371483,4.51631193391888
0.01355549382844543,3.934571375824459,4.512583669331209
0.01355558382844543,3.934571375824464,4.512583669331182
0.01355567382844543,3.930865839371488,4.512583669331182
0.01355576382844543,3.930865839371488,4.508855404743495
0.01355585382844543,3.927160302918489,4.512583669331182
0.01355594382844543,3.927160302918482,4.512583669331189
0.01355603382844543,3.923454766465507,4.516311933918873
0.01355612382844543,3.93086583937142,4.516311933918856
