vin	V(vout)
Step Information: Vref=0  (Run: 1/3)
1.890000000000001e+00	1.309470e-03
1.900000000000001e+00	1.316370e-03
1.910000000000001e+00	1.323270e-03
1.920000000000001e+00	1.330170e-03
1.930000000000001e+00	1.337070e-03
1.940000000000002e+00	1.343970e-03
1.950000000000002e+00	1.350870e-03
1.960000000000002e+00	1.357770e-03
1.970000000000002e+00	1.364670e-03
1.980000000000002e+00	1.371570e-03
1.990000000000002e+00	1.378470e-03
2.000000000000001e+00	1.385370e-03
2.010000000000001e+00	1.392270e-03
2.020000000000001e+00	1.399170e-03
2.030000000000001e+00	1.406071e-03
2.040000000000000e+00	1.412971e-03
2.050000000000000e+00	1.419871e-03
2.060000000000000e+00	1.426771e-03
2.070000000000000e+00	1.433671e-03
2.080000000000000e+00	1.440571e-03
2.089999999999999e+00	1.447471e-03
2.099999999999999e+00	1.454371e-03
2.109999999999999e+00	1.461271e-03
2.119999999999999e+00	1.468171e-03
2.129999999999999e+00	1.475071e-03
2.139999999999998e+00	1.481971e-03
2.149999999999998e+00	1.488872e-03
2.159999999999998e+00	1.495772e-03
2.169999999999998e+00	1.502672e-03
2.179999999999997e+00	1.509572e-03
2.189999999999997e+00	1.516472e-03
2.199999999999997e+00	1.523372e-03
2.209999999999997e+00	1.530272e-03
2.219999999999997e+00	1.537172e-03
2.229999999999996e+00	1.544072e-03
2.239999999999996e+00	1.550973e-03
2.249999999999996e+00	1.557873e-03
2.259999999999996e+00	1.564773e-03
2.269999999999996e+00	1.571673e-03
2.279999999999995e+00	1.578573e-03
2.289999999999995e+00	1.585473e-03
2.299999999999995e+00	1.592373e-03
2.309999999999995e+00	1.599273e-03
2.319999999999995e+00	1.606173e-03
2.329999999999994e+00	1.613074e-03
2.339999999999994e+00	1.619974e-03
2.349999999999994e+00	1.626874e-03
2.359999999999994e+00	1.633774e-03
2.369999999999993e+00	1.640674e-03
2.379999999999993e+00	1.647574e-03
2.389999999999993e+00	1.654474e-03
2.399999999999993e+00	1.661375e-03
2.409999999999993e+00	1.668275e-03
2.419999999999992e+00	1.675175e-03
2.429999999999992e+00	1.682075e-03
2.439999999999992e+00	1.688975e-03
2.449999999999992e+00	1.695875e-03
2.459999999999992e+00	1.702775e-03
2.469999999999991e+00	1.709676e-03
2.479999999999991e+00	1.716576e-03
2.489999999999991e+00	1.723476e-03
2.499999999999991e+00	1.730376e-03
2.509999999999990e+00	1.737276e-03
2.519999999999990e+00	1.744176e-03
2.529999999999990e+00	1.751077e-03
2.539999999999990e+00	1.757977e-03
2.549999999999990e+00	1.764877e-03
2.559999999999989e+00	1.771777e-03
2.569999999999989e+00	1.778677e-03
2.579999999999989e+00	1.785578e-03
2.589999999999989e+00	1.792478e-03
2.599999999999989e+00	1.799378e-03
2.609999999999988e+00	1.806278e-03
2.619999999999988e+00	1.813178e-03
2.629999999999988e+00	1.820079e-03
2.639999999999988e+00	1.826979e-03
2.649999999999987e+00	1.833879e-03
2.659999999999987e+00	1.840779e-03
2.669999999999987e+00	1.847679e-03
2.679999999999987e+00	1.854580e-03
2.689999999999987e+00	1.861480e-03
2.699999999999986e+00	1.868380e-03
2.709999999999986e+00	1.875280e-03
2.719999999999986e+00	1.882180e-03
2.729999999999986e+00	1.889081e-03
2.739999999999986e+00	1.895981e-03
2.749999999999985e+00	1.902881e-03
2.759999999999985e+00	1.909781e-03
2.769999999999985e+00	1.916682e-03
2.779999999999985e+00	1.923582e-03
2.789999999999984e+00	1.930482e-03
2.799999999999984e+00	1.937382e-03
2.809999999999984e+00	1.944282e-03
2.819999999999984e+00	1.951183e-03
2.829999999999984e+00	1.958083e-03
2.839999999999983e+00	1.964983e-03
2.849999999999983e+00	1.971883e-03
2.859999999999983e+00	1.978784e-03
2.869999999999983e+00	1.985684e-03
2.879999999999983e+00	1.992584e-03
2.889999999999982e+00	1.999484e-03
2.899999999999982e+00	2.006385e-03
2.909999999999982e+00	2.013285e-03
2.919999999999982e+00	2.020185e-03
2.929999999999982e+00	2.027086e-03
2.939999999999981e+00	2.033986e-03
2.949999999999981e+00	2.040886e-03
2.959999999999981e+00	2.047786e-03
2.969999999999981e+00	2.054687e-03
2.979999999999980e+00	2.061587e-03
2.989999999999980e+00	2.068487e-03
2.999999999999980e+00	2.075387e-03
3.009999999999980e+00	2.082288e-03
3.019999999999980e+00	2.089188e-03
3.029999999999979e+00	2.096088e-03
3.039999999999979e+00	2.102989e-03
3.049999999999979e+00	2.109889e-03
3.059999999999979e+00	2.116789e-03
3.069999999999979e+00	2.123690e-03
3.079999999999978e+00	2.130590e-03
3.089999999999978e+00	2.137490e-03
3.099999999999978e+00	2.144390e-03
3.109999999999978e+00	2.151291e-03
3.119999999999977e+00	2.158191e-03
